정류소 이름,정류소 ID,총 승차,총 하차,카드 승차,카드 하차,현금 승차,일평균 승하차,총 승차 대비 총 하차,총 하차 대비 총 승차,카드 승차 대비 카드 하차,카드 하차 대비 카드 승차,현금 승차 대비 카드 승차,카드 승차 대비 현금 승차
가정교차로,89391.0,298,2450,298,2450,0,88,822.1476510067115,12.16326530612245,822.1476510067115,12.16326530612245,,0.0
가정동성당,89102.0,3547,3961,3545,3961,2,242,111.67183535382013,89.54809391567787,111.73483779971791,89.4976016157536,177250.0,0.05641748942172073
가정동성당,89105.0,2465,1617,2465,1617,0,131,65.59837728194726,152.44279529993815,65.59837728194726,152.44279529993815,,0.0
가정보금자리,89119.0,1624,680,1624,680,0,74,41.87192118226601,238.8235294117647,41.87192118226601,238.8235294117647,,0.0
가정보금자리,89120.0,155,1512,155,1512,0,53,975.4838709677418,10.251322751322752,975.4838709677418,10.251322751322752,,0.0
가정여자중학교,42041.0,855,7858,830,7858,25,281,919.0643274853802,10.880631203868669,946.7469879518072,10.56248409264444,3320.0000000000005,3.0120481927710845
가정여중입구,89303.0,966,843,956,843,10,58,87.26708074534162,114.59074733096087,88.17991631799164,113.40450771055752,9560.0,1.0460251046025104
가정중앙시장역,42215.0,1269,1606,1269,1606,0,92,126.55634357762018,79.0161892901619,126.55634357762018,79.0161892901619,,0.0
가정중앙시장역,42219.0,1177,1624,1177,1624,0,90,137.97790994052676,72.47536945812809,137.97790994052676,72.47536945812809,,0.0
가정택지삼거리,89385.0,319,131,319,131,0,14,41.06583072100313,243.5114503816794,41.06583072100313,243.5114503816794,,0.0
가정택지삼거리,89386.0,200,516,200,516,0,23,258.0,38.759689922480625,258.0,38.759689922480625,,0.0
가정휴먼시아3단지,89186.0,870,1492,870,1492,0,76,171.49425287356323,58.31099195710456,171.49425287356323,58.31099195710456,,0.0
가정휴먼시아3단지,89187.0,1324,963,1324,963,0,73,72.73413897280967,137.4870197300104,72.73413897280967,137.4870197300104,,0.0
가좌2동행정복지센터,42073.0,6152,334,6109,334,43,209,5.4291287386215865,1841.9161676646706,5.467343264036667,1829.0419161676646,14206.976744186048,0.7038795220166967
가좌2동행정복지센터,42076.0,122,5146,118,5146,4,169,4218.0327868852455,2.3707734162456275,4361.016949152543,2.293043140303148,2950.0,3.389830508474576
가좌3동행정복지센터,42075.0,12419,13244,12388,13244,31,827,106.64304694419842,93.77076411960132,106.90991281885695,93.53669586227726,39961.290322580644,0.2502421698417824
가좌4동행정복지센터,42062.0,4513,6470,4501,6470,12,354,143.36361621980944,69.75270479134467,143.74583425905354,69.56723338485317,37508.33333333333,0.26660742057320597
가좌고등학교,42060.0,13955,11734,13925,11734,30,828,84.08455750627016,118.92790182376001,84.26570915619389,118.67223453212885,46416.66666666667,0.21543985637342908
가좌고등학교,42061.0,5601,7949,5580,7949,21,437,141.92108552044277,70.46169329475406,142.4551971326165,70.19750912064411,26571.428571428572,0.3763440860215054
가좌공단,42526.0,30,9186,29,9186,1,297,30620.0,0.32658393207054215,31675.862068965518,0.31569780100152406,2900.0,3.4482758620689653
가좌공단,42945.0,7295,220,7293,220,2,242,3.015764222069911,3315.9090909090905,3.0165912518853695,3315.0,364650.0,0.02742355683532154
가좌교회,42055.0,3253,7539,3252,7539,1,348,231.75530279741778,43.14895874784454,231.82656826568265,43.13569438917628,325200.0,0.03075030750307503
가좌교회,42057.0,3715,3533,3715,3533,0,233,95.10094212651413,105.1514293801302,95.10094212651413,105.1514293801302,,0.0
가좌녹지공원,42029.0,1819,4121,1806,4121,13,191,226.55305112699287,44.139771900024265,228.18383167220375,43.82431448677506,13892.307692307693,0.7198228128460686
가좌녹지공원,42030.0,2155,1608,2149,1608,6,121,74.61716937354988,134.0174129353234,74.82550023266636,133.64427860696517,35816.66666666667,0.2791996277338297
가좌농협,42066.0,8437,6496,8405,6496,32,481,76.99419224842954,129.87992610837438,77.2873289708507,129.38731527093597,26265.625,0.38072575847709694
가좌농협,42067.0,5832,5739,5809,5739,23,373,98.40534979423869,101.62049137480398,98.79497331726631,101.21972469071268,25256.521739130436,0.39593733861249786
가좌동차고,42939.0,2255,277,2209,277,46,81,12.28381374722838,814.0794223826715,12.539610683567226,797.4729241877255,4802.173913043478,2.082390221819828
가좌동차고지,42522.0,56,1060,39,1060,17,36,1892.8571428571427,5.283018867924529,2717.948717948718,3.6792452830188678,229.41176470588235,43.58974358974359
