정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
문학초등학교,37105,19333,8259,19283,8259,50,890
문학초등학교,37110,8616,15622,8615,15622,1,781
문현,43005,111,81,110,81,1,6
문현,43164,60,61,60,61,0,3
문현,43195,116,7,113,7,3,3
문현,43321,6,133,6,133,0,4
문화교회,40173,308,231,308,231,0,17
문화교회,40174,10081,11774,10067,11774,14,705
문화예술회관,39197,3157,5910,3149,5910,8,292
문화예술회관,39199,697,684,693,684,4,44
물류단지D블럭앞,35604,403,2,403,2,0,13
물류단지F블럭앞,35603,10,552,10,552,0,18
물왕TG(미정차),70223,1,0,1,0,0,0
미관광장,38508,32,139,32,139,0,5
미관광장,38512,21,58,21,58,0,2
미단교회사거리,35664,61,51,61,51,0,3
미단교회사거리,35665,2,23,2,23,0,0
미도아파트,37446,1233,1557,1233,1557,0,90
미도아파트,41027,9778,3016,9761,3016,17,412
미도아파트,41028,3588,9783,3579,9783,9,431
미래빌라,36088,6730,891,6724,891,6,245
미래빌라,36089,1416,4805,1416,4805,0,200
미래타운1.2단지,40683,3686,19021,3686,19021,0,732
미래타운1.2단지,40684,14448,2430,14448,2430,0,544
미래타운5단지,40672,1007,3660,1007,3660,0,150
미래타운5단지501동,40662,6035,291,6035,291,0,204
미래타운5단지505동,40669,5376,3076,5376,3076,0,272
미래테크원,92015,2522,1040,2522,1040,0,114
미루지,43420,18,18,18,18,0,1
미루지,43522,17,13,17,13,0,0
미륭아파트,36138,3265,655,3230,655,35,126
미륭아파트,36139,898,3185,887,3185,11,131
미림극장,36008,3441,8038,3417,8038,24,370
미림극장,36009,8778,2541,8720,2541,58,365
미림극장입구,36141,281,470,273,470,8,24
미산초등학교,40378,7672,8774,7656,8774,16,530
미송초등학교,38654,15998,1365,15992,1365,6,560
미송초등학교(하행),38653,2349,8657,2344,8657,5,355
미주탕,42123,2975,10793,2963,10793,12,444
미주탕,42124,11316,5290,11272,5290,44,535
미추홀경찰서(장미아파트),37524,767,4096,767,4096,0,156
미추홀공원,38368,9130,3105,9111,3105,19,394
미추홀구청,37304,5379,4181,5379,4181,0,308
미추홀구청,37307,1067,2320,1061,2320,6,109
미추홀구청입구,37306,9511,18270,9506,18270,5,896
미추홀구청입구,37312,10424,10718,10412,10718,12,682
미추홀구평생학습관,37073,5979,6244,5979,6244,0,394
미추홀도서관·인천신월초등학교,39270,3736,8334,3736,8334,0,389
미추홀서사거리,37678,199,1148,199,1148,0,43
미추홀아파트,40250,200,478,200,478,0,21
미추홀아파트,40254,242,362,242,362,0,19
미추홀외고,39689,449,868,449,868,0,42
미추홀외고,39690,751,494,751,494,0,40
미추홀퍼스트(2단지),37220,8606,3867,8551,3867,55,402
미추홀퍼스트(2단지),37642,3917,9124,3905,9124,12,420
미추홀퍼스트2단지,37646,2747,426,2747,426,0,102
미추홀퍼스트3단지,37647,644,3217,644,3217,0,124
민머루해수욕장,90336,10,4,10,4,0,0
민방위교육장,38610,63,719,63,719,0,25
민방위교육장,38611,693,459,693,459,0,37
민방위교육장,39733,8511,2421,8511,2421,0,352
민방위교육장,39734,49,2464,49,2464,0,81
민방위교육장입구,41043,1869,5466,1864,5466,5,236
바로크아파트,42530,827,635,826,635,1,47
박공현,43228,68,6,65,6,3,2
박공현,43294,18,46,18,46,0,2
박문여자고등학교,39799,1595,178,1595,178,0,57
박문여자고등학교,39800,1187,1162,1187,1162,0,75
박문중학교,39844,805,463,805,463,0,40
박문중학교,39847,621,3665,621,3665,0,138
박문중학교정문,39860,3714,327,3713,327,1,130
박문중학교후문,39859,633,132,633,132,0,24
박물관앞,43668,17,161,16,161,1,5
박물관앞,43698,232,14,227,14,5,7
박촌마을입구,35670,171,12,171,12,0,5
